sigma_w_hat,PPS,CRA,MAF
0.05,2.495724,1.930712,1.823247
0.1,1.411434,1.620703,1.549897
0.15,1.175397,1.560084,1.496483
0.2,1.130935,1.529181,1.484423
0.25,1.125378,1.524437,1.482667
0.3,1.126333,1.529068,1.483542
0.35,1.129939,1.526588,1.484942
0.4,1.129,1.526891,1.486285
0.45,1.129415,1.529625,1.487434
0.5,1.131012,1.525511,1.488381
0.55,1.131739,1.531822,1.489154
0.6,1.131406,1.530996,1.489785
0.65,1.131676,1.53215,1.490304
0.7,1.137095,1.538195,1.490733
0.75,1.13243,1.533911,1.491091
0.8,1.133302,1.536338,1.491391
0.85,1.134839,1.535698,1.491645
0.9,1.134511,1.536885,1.491862
0.95,1.133796,1.535958,1.492048
1.0,1.134082,1.537849,1.49221
