Theta,p1,p2,p3,p4,p5
0,0.998638,0.992463,0.961091,0.822303,0.669564
1,0.999722,0.997623,0.978459,0.854332,0.70297
2,0.999947,0.999286,0.988952,0.884974,0.73621
3,0.999991,0.999792,0.994749,0.913185,0.769268
4,0.999998,0.999941,0.99768,0.937813,0.802065
5,0.999999,0.999983,0.999048,0.957989,0.834393
6,1.0,0.999995,0.99964,0.973354,0.865791
7,1.0,0.999999,0.999872,0.984222,0.895513
8,1.0,1.0,0.999958,0.99129,0.922554
9,1.0,1.0,0.999987,0.995521,0.945817
10,1.0,1.0,0.999996,0.997859,0.964478
11,1.0,1.0,0.999999,0.999042,0.978322
12,1.0,1.0,1.0,0.999598,0.987759
13,1.0,1.0,1.0,0.999842,0.993603
14,1.0,1.0,1.0,0.999945,0.996902
15,1.0,1.0,1.0,0.999983,0.9986
16,1.0,1.0,1.0,0.999995,0.999405
17,1.0,1.0,1.0,0.999999,0.999758
18,1.0,1.0,1.0,1.0,0.999905
19,1.0,1.0,1.0,1.0,0.999963
20,1.0,1.0,1.0,1.0,0.999985
21,1.0,1.0,1.0,1.0,0.999994
22,1.0,1.0,1.0,1.0,0.999998
23,1.0,1.0,1.0,1.0,0.999999
24,1.0,1.0,1.0,1.0,0.999999
25,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,1.0
61,1.0,1.0,1.0,1.0,1.0
62,1.0,1.0,1.0,1.0,1.0
63,1.0,1.0,1.0,1.0,1.0
64,1.0,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,1.0
66,1.0,1.0,1.0,1.0,1.0
67,1.0,1.0,1.0,1.0,1.0
68,1.0,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0,1.0
71,1.0,1.0,1.0,1.0,1.0
72,1.0,1.0,1.0,1.0,1.0
73,1.0,1.0,1.0,1.0,1.0
74,1.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0
76,1.0,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0,1.0
78,1.0,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0
81,1.0,1.0,1.0,1.0,1.0
82,1.0,1.0,1.0,1.0,1.0
83,1.0,1.0,1.0,1.0,1.0
84,1.0,1.0,1.0,1.0,1.0
85,1.0,1.0,1.0,1.0,1.0
86,1.0,1.0,1.0,1.0,1.0
87,1.0,1.0,1.0,1.0,1.0
88,1.0,1.0,1.0,1.0,1.0
89,1.0,1.0,1.0,1.0,1.0
90,1.0,1.0,1.0,1.0,1.0
91,1.0,1.0,1.0,1.0,1.0
92,1.0,1.0,1.0,1.0,1.0
93,1.0,1.0,1.0,1.0,1.0
94,1.0,1.0,1.0,1.0,1.0
95,1.0,1.0,1.0,1.0,1.0
96,1.0,1.0,1.0,1.0,1.0
97,1.0,1.0,1.0,1.0,1.0
98,1.0,1.0,1.0,1.0,1.0
99,1.0,1.0,1.0,1.0,1.0
100,1.0,1.0,1.0,1.0,1.0
